S/N,Name,Department,Content_A (30%),Content_B (30%),Content_Avg (30%),Structure_A (20%),Structure_B (20%),Structure_Avg (20%),Style_A (30%),Style_B (30%),Style_Avg (30%),Mechanics_A (20%),Mechanics_B (20%),Mechanics_Avg (20%),Total_A(100%),Total_B(100%),Total_Avg(100%),Violations_A,Violations_B,Penalty_A,Penalty_B,Penalty_Avg,Net_A(100%),Net_B(100%),Net_Avg(100%)
14,Harper Adams,Nursing,19,18,18.5,15,17,16,18,21,19.5,13,16,14.5,65,72,68.5,E(v),,-1,0,-0.5,64,72,68
15,Henry Foster,English and Literary Studies,15,27,21,15,19,17,25,18,19.5,14,23,18.5,69,87,78,"A(i), A(iii), B(i)","C(i), B(i), A(i), A(ii,)",-9,-14,-11.5,60,73,66.5
16,Evelyn Campbell,Radiography,20,24,22,18,18,18,15,13,14,18,20,19,71,75,73,"A(iii), C(ii)",A(iii),-12,-2,-7,59,73,66
17,Jack Morgan,Law,14,14,14,13,16,14.5,20,26,23,13,12,12.5,60,68,64,E(v),,-1,0,-0.5,59,68,63.5
18,Isabella Morris,Law,25,25,25,15.4,18,16.7,15,16,15.5,12,22,17,67.4,81,74.2,"A(i), B(ii)","A(i), B(II)",-12,-12,-12,55.4,69,62.2
19,Grace Murphy,Law,20,22,21,14,15,14.5,22,19,20.5,18,5,11.5,74,61,67.5,"A(ii), E(v)","A(iii), C(i), E(v)",-4,-9,-6.5,70,52,61
20,Andrew Simmons,Pharmacy,27,15,21,18,15,16.5,26,18,22,18,7,12.5,89,55,72,"E(i), E(ii), E(iii), E(iv)","B(i), C(ii), E(i), E(ii), E(iii),  E(v)",-4,-20,-12,85,35,60
21,Madison Bailey,Nursing,15,15,15,13,10,11.5,20,17,18.5,13,16,14.5,61,58,59.5,,,9,0,4.5,61,58,59.5
22,Chloe Thompson,Medicine and Surgery,18,22,20,15.2,15,15.1,20,12,16,8,18,13,61.2,67,64.1,"C(i), E(i), E(ii), E(iii)","E(i), E(ii), E(iii)",-8,-3,-5.5,53.2,64,58.6
23,Stella Hayes,English and Literary Studies,18,22,20,15.2,16,15.6,15,16,15.5,10,18,14,58.2,72,65.1,"A(i), B(i)","B(i), A(i)",-7,-7,-7,51.2,65,58.1
24,Aiden Ward,Science Laboratory Technology,22,20,21,15,17,16,21,17,19,18,1,9.5,76,55,65.5,"D, B(i)","B(i), D(i)",-10,-10,-10,66,45,55.5
25,Natalie Price,Veterinary Medicine,20,17,18.5,13,10,11.5,20,19,19.5,18,9,13.5,71,55,63,"D, E(v), A(i), A(iii)","A(i), A(iii), C(i), D(i), E(v)",-11,-16,-13.5,60,39,49.5
26,Zoe Bell,Agriculture and Bio-Resource Engineering,13,12,12.5,7,8,7.5,14,14,14,11,13,12,45,47,46,,"A(i), A(ii), A(iii), E(i), E(ii), E(iii), E( v)",0,-6,-3,45,41,43
27,Nathan Kelly,Law,24,0,12,16,0,8,23,0,11.5,16,0,8,79,0,39.5,E(v),C(iii),-2,,,77,0,38.5
28,Gabriel Howard,Pharmacy,23,0,11.5,15,0,7.5,22,0,11,18,0,9,73,0,36.5, -,C(iii),,,0,73,0,36.5
29,Amelia Young,Medicne,22,0,11,16,0,8,20,0,10,15,0,7.5,73,0,36.5,"E(iv), E(v), D",,0,,0,65,0,32.5
30,Mason Reed,Electronic and Computer Engineering,23,0,11.5,16,0,8,20,0,10,16,0,8,75,0,37.5,"B(ii), E(iv), E(iii)",0,-13,0,-6.5,62,0,31
31,Logan Brooks,Medical Radiography,28,22,25,16,16,16,0,16,8,8,18,13,0,72,36,"A(i), A(ii), A(iii), B(ii), C(i), E(i), E(ii), E(iii)","E(i), E(ii), E(iii), E(iv), B(ii), A(i), A(ii), A(iii)",-24,-20,-22,0,52,26
